obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
2;9;20.000;36;30.000;28;13.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;73;7.206
7;1;2.222;2;1.667;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
11;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
35;9;20.000;7;5.833;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
49;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
57;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
60;6;13.333;11;9.167;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;2.172
81;1;2.222;3;2.500;4;1.905;3;1.190;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
88;1;2.222;4;3.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
97;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
107;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
124;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
125;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
127;3;6.667;8;6.667;7;3.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
138;9;20.000;6;5.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
140;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
141;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
146;4;8.889;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
155;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
