obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;3;6.667;4;3.333;10;4.762;7;2.778;6;2.857;0;0.000;0;0.000;0;0.000;0;0.000;30;2.962
2;17;37.778;57;47.500;109;51.905;142;56.349;127;60.476;84;70.000;36;80.000;9;90.000;1;100.000;582;57.453
3;6;13.333;8;6.667;9;4.286;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;24;2.369
4;9;20.000;16;13.333;28;13.333;21;8.333;9;4.286;1;0.833;0;0.000;0;0.000;0;0.000;84;8.292
5;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
7;25;55.556;71;59.167;125;59.524;167;66.270;158;75.238;100;83.333;42;93.333;10;100.000;1;100.000;699;69.003
9;8;17.778;13;10.833;12;5.714;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;36;3.554
10;17;37.778;34;28.333;46;21.905;58;23.016;38;18.095;23;19.167;2;4.444;0;0.000;0;0.000;218;21.520
11;9;20.000;36;30.000;80;38.095;99;39.286;93;44.286;48;40.000;8;17.778;1;10.000;0;0.000;374;36.920
12;12;26.667;28;23.333;52;24.762;80;31.746;85;40.476;61;50.833;27;60.000;7;70.000;1;100.000;353;34.847
13;3;6.667;5;4.167;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
14;8;17.778;24;20.000;50;23.810;67;26.587;57;27.143;31;25.833;10;22.222;1;10.000;0;0.000;248;24.482
16;7;15.556;15;12.500;18;8.571;25;9.921;17;8.095;7;5.833;3;6.667;0;0.000;0;0.000;92;9.082
17;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
18;11;24.444;15;12.500;22;10.476;25;9.921;16;7.619;8;6.667;0;0.000;0;0.000;0;0.000;97;9.576
20;7;15.556;18;15.000;28;13.333;36;14.286;33;15.714;11;9.167;4;8.889;0;0.000;0;0.000;137;13.524
21;2;4.444;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
22;3;6.667;11;9.167;10;4.762;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;25;2.468
23;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
24;0;0.000;1;0.833;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
26;13;28.889;45;37.500;89;42.381;123;48.810;89;42.381;48;40.000;13;28.889;3;30.000;0;0.000;423;41.757
27;9;20.000;22;18.333;33;15.714;41;16.270;35;16.667;27;22.500;6;13.333;1;10.000;0;0.000;174;17.177
29;4;8.889;3;2.500;3;1.429;5;1.984;4;1.905;1;0.833;1;2.222;0;0.000;0;0.000;21;2.073
30;14;31.111;39;32.500;65;30.952;60;23.810;40;19.048;12;10.000;0;0.000;0;0.000;0;0.000;230;22.705
31;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
32;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
33;4;8.889;10;8.333;13;6.190;9;3.571;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;37;3.653
34;4;8.889;5;4.167;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
35;9;20.000;36;30.000;84;40.000;126;50.000;126;60.000;84;70.000;35;77.778;9;90.000;1;100.000;510;50.346
36;10;22.222;23;19.167;32;15.238;56;22.222;34;16.190;0;0.000;0;0.000;0;0.000;0;0.000;155;15.301
37;5;11.111;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
38;6;13.333;22;18.333;37;17.619;32;12.698;12;5.714;0;0.000;0;0.000;0;0.000;0;0.000;109;10.760
39;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
40;8;17.778;17;14.167;19;9.048;16;6.349;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;69;6.811
42;3;6.667;7;5.833;17;8.095;11;4.365;7;3.333;2;1.667;0;0.000;0;0.000;0;0.000;47;4.640
43;5;11.111;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
44;8;17.778;22;18.333;32;15.238;23;9.127;7;3.333;0;0.000;0;0.000;0;0.000;0;0.000;92;9.082
45;15;33.333;37;30.833;69;32.857;101;40.079;99;47.143;56;46.667;23;51.111;7;70.000;1;100.000;408;40.276
46;14;31.111;53;44.167;94;44.762;114;45.238;106;50.476;69;57.500;31;68.889;9;90.000;1;100.000;491;48.470
47;10;22.222;20;16.667;29;13.810;38;15.079;31;14.762;19;15.833;6;13.333;1;10.000;0;0.000;154;15.202
48;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
49;16;35.556;40;33.333;79;37.619;104;41.270;97;46.190;64;53.333;29;64.444;7;70.000;1;100.000;437;43.139
51;9;20.000;25;20.833;44;20.952;66;26.190;46;21.905;21;17.500;9;20.000;0;0.000;0;0.000;220;21.718
53;13;28.889;24;20.000;49;23.333;61;24.206;52;24.762;34;28.333;19;42.222;6;60.000;1;100.000;259;25.568
54;10;22.222;20;16.667;30;14.286;28;11.111;8;3.810;1;0.833;0;0.000;0;0.000;0;0.000;97;9.576
55;13;28.889;32;26.667;44;20.952;61;24.206;60;28.571;41;34.167;20;44.444;4;40.000;1;100.000;276;27.246
57;15;33.333;44;36.667;54;25.714;59;23.413;70;33.333;53;44.167;17;37.778;5;50.000;0;0.000;317;31.293
59;6;13.333;10;8.333;13;6.190;12;4.762;9;4.286;3;2.500;0;0.000;0;0.000;0;0.000;53;5.232
60;13;28.889;43;35.833;91;43.333;127;50.397;127;60.476;84;70.000;36;80.000;9;90.000;1;100.000;531;52.419
61;3;6.667;5;4.167;6;2.857;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
62;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
63;11;24.444;49;40.833;96;45.714;127;50.397;119;56.667;78;65.000;34;75.556;9;90.000;1;100.000;524;51.728
64;8;17.778;28;23.333;39;18.571;50;19.841;52;24.762;25;20.833;12;26.667;0;0.000;0;0.000;214;21.125
65;3;6.667;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
66;19;42.222;53;44.167;106;50.476;128;50.794;119;56.667;75;62.500;30;66.667;8;80.000;1;100.000;539;53.208
67;0;0.000;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
