obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
2;9;20.000;36;30.000;84;40.000;85;33.730;59;28.095;0;0.000;0;0.000;0;0.000;0;0.000;273;26.950
4;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
7;6;13.333;15;12.500;20;9.524;25;9.921;12;5.714;1;0.833;0;0.000;0;0.000;0;0.000;79;7.799
10;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
11;9;20.000;9;7.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;1.876
12;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
14;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
20;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
26;9;20.000;9;7.500;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;21;2.073
30;3;6.667;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
35;9;20.000;36;30.000;52;24.762;29;11.508;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;135;13.327
36;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
45;2;4.444;5;4.167;3;1.429;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
46;5;11.111;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
47;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
49;7;15.556;12;10.000;14;6.667;7;2.778;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;40;3.949
51;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
53;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
54;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
55;2;4.444;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
57;2;4.444;8;6.667;13;6.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
