USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs_low_LEN,OLs_medium_LEN,OLs_strong_LEN,OLs_low,OLs_medium,OLs_strong,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('ATTR_1', 'ATTR_2')",2,45,0,11,16,18,"[475, 476, 480, 485, 487, 489, 490, 492, 494, 495, 499]","[501, 502, 503, 504, 505, 506, 512, 513, 514, 515, 516, 517, 518, 519, 521, 522]","[528, 529, 530, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 547, 548]","[475, 476, 480, 485, 487, 489, 490, 492, 494, 495, 499, 501, 502, 503, 504, 505, 506, 512, 513, 514, 515, 516, 517, 518, 519, 521, 522, 528, 529, 530, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 547, 548]",[],"[475, 476, 480, 485, 487, 489, 490, 492, 494, 495, 499, 501, 502, 503, 504, 505, 506, 512, 513, 514, 515, 516, 517, 518, 519, 521, 522, 528, 529, 530, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 547, 548]","[477, 478, 479, 481, 482, 483, 484, 486, 488, 491, 493, 496, 497, 498, 500, 507, 508, 509, 510, 511, 520, 523, 524, 525, 526, 527, 532, 544, 546, 549]",3330700
"('ATTR_1', 'ATTR_3')",2,46,1,13,18,15,"[476, 478, 479, 480, 482, 484, 485, 486, 489, 490, 493, 494, 499]","[500, 501, 502, 503, 504, 505, 506, 508, 512, 513, 514, 515, 516, 517, 518, 519, 521, 522]","[526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 540, 542, 543, 547, 548]","[310, 476, 478, 479, 480, 482, 484, 485, 486, 489, 490, 493, 494, 499, 500, 501, 502, 503, 504, 505, 506, 508, 512, 513, 514, 515, 516, 517, 518, 519, 521, 522, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 540, 542, 543, 547, 548]",[310],"[476, 478, 479, 480, 482, 484, 485, 486, 489, 490, 493, 494, 499, 500, 501, 502, 503, 504, 505, 506, 508, 512, 513, 514, 515, 516, 517, 518, 519, 521, 522, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 540, 542, 543, 547, 548]","[475, 477, 481, 483, 487, 488, 491, 492, 495, 496, 497, 498, 507, 509, 510, 511, 520, 523, 524, 525, 530, 532, 533, 538, 541, 544, 545, 546, 549]",2871800
"('ATTR_1', 'ATTR_4')",2,47,1,11,16,20,"[476, 478, 479, 480, 483, 485, 487, 489, 493, 495, 499]","[502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522]","[525, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]","[60, 476, 478, 479, 480, 483, 485, 487, 489, 493, 495, 499, 502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 525, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]",[60],"[476, 478, 479, 480, 483, 485, 487, 489, 493, 495, 499, 502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 525, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]","[475, 477, 481, 482, 484, 486, 488, 490, 491, 492, 494, 496, 497, 498, 500, 501, 507, 509, 511, 516, 517, 523, 524, 530, 532, 533, 538, 549]",2516900
"('ATTR_1', 'ATTR_5')",2,49,0,9,19,21,"[476, 478, 480, 484, 485, 488, 489, 490, 499]","[500, 501, 503, 504, 505, 507, 508, 510, 511, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522]","[526, 527, 528, 529, 530, 532, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]","[476, 478, 480, 484, 485, 488, 489, 490, 499, 500, 501, 503, 504, 505, 507, 508, 510, 511, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522, 526, 527, 528, 529, 530, 532, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]",[],"[476, 478, 480, 484, 485, 488, 489, 490, 499, 500, 501, 503, 504, 505, 507, 508, 510, 511, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522, 526, 527, 528, 529, 530, 532, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]","[475, 477, 479, 481, 482, 483, 486, 487, 491, 492, 493, 494, 495, 496, 497, 498, 502, 506, 509, 516, 523, 524, 525, 531, 533, 549]",2528200
"('ATTR_1', 'ATTR_6')",2,39,0,7,13,19,"[476, 480, 485, 489, 490, 495, 499]","[503, 504, 505, 508, 512, 513, 514, 515, 518, 519, 521, 522, 523]","[525, 526, 528, 529, 532, 534, 535, 536, 537, 539, 540, 541, 542, 543, 545, 546, 547, 548, 549]","[476, 480, 485, 489, 490, 495, 499, 503, 504, 505, 508, 512, 513, 514, 515, 518, 519, 521, 522, 523, 525, 526, 528, 529, 532, 534, 535, 536, 537, 539, 540, 541, 542, 543, 545, 546, 547, 548, 549]",[],"[476, 480, 485, 489, 490, 495, 499, 503, 504, 505, 508, 512, 513, 514, 515, 518, 519, 521, 522, 523, 525, 526, 528, 529, 532, 534, 535, 536, 537, 539, 540, 541, 542, 543, 545, 546, 547, 548, 549]","[475, 477, 478, 479, 481, 482, 483, 484, 486, 487, 488, 491, 492, 493, 494, 496, 497, 498, 500, 501, 502, 506, 507, 509, 510, 511, 516, 517, 520, 524, 527, 530, 531, 533, 538, 544]",2629300
"('ATTR_1', 'ATTR_7')",2,46,0,11,18,17,"[475, 476, 480, 485, 487, 489, 490, 494, 495, 497, 499]","[500, 502, 503, 504, 505, 508, 510, 511, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523]","[525, 528, 529, 530, 532, 533, 534, 535, 536, 537, 539, 540, 542, 543, 546, 547, 548]","[475, 476, 480, 485, 487, 489, 490, 494, 495, 497, 499, 500, 502, 503, 504, 505, 508, 510, 511, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 525, 528, 529, 530, 532, 533, 534, 535, 536, 537, 539, 540, 542, 543, 546, 547, 548]",[],"[475, 476, 480, 485, 487, 489, 490, 494, 495, 497, 499, 500, 502, 503, 504, 505, 508, 510, 511, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 525, 528, 529, 530, 532, 533, 534, 535, 536, 537, 539, 540, 542, 543, 546, 547, 548]","[477, 478, 479, 481, 482, 483, 484, 486, 488, 491, 492, 493, 496, 498, 501, 506, 507, 509, 516, 517, 524, 526, 527, 531, 538, 541, 544, 545, 549]",3198800
"('ATTR_1', 'ATTR_8')",2,46,1,10,15,21,"[476, 480, 482, 485, 487, 489, 490, 494, 498, 499]","[503, 504, 505, 509, 511, 512, 513, 514, 515, 517, 518, 519, 521, 522, 524]","[525, 526, 528, 529, 530, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 546, 547, 548]","[440, 476, 480, 482, 485, 487, 489, 490, 494, 498, 499, 503, 504, 505, 509, 511, 512, 513, 514, 515, 517, 518, 519, 521, 522, 524, 525, 526, 528, 529, 530, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 546, 547, 548]",[440],"[476, 480, 482, 485, 487, 489, 490, 494, 498, 499, 503, 504, 505, 509, 511, 512, 513, 514, 515, 517, 518, 519, 521, 522, 524, 525, 526, 528, 529, 530, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 546, 547, 548]","[475, 477, 478, 479, 481, 483, 484, 486, 488, 491, 492, 493, 495, 496, 497, 500, 501, 502, 506, 507, 508, 510, 516, 520, 523, 527, 531, 544, 549]",2508200
"('ATTR_1', 'ATTR_9')",2,51,1,13,16,22,"[476, 480, 483, 484, 485, 487, 489, 490, 491, 492, 494, 495, 499]","[502, 503, 504, 505, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 524]","[525, 526, 527, 528, 529, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 546, 547, 548, 549]","[2, 476, 480, 483, 484, 485, 487, 489, 490, 491, 492, 494, 495, 499, 502, 503, 504, 505, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 546, 547, 548, 549]",[2],"[476, 480, 483, 484, 485, 487, 489, 490, 491, 492, 494, 495, 499, 502, 503, 504, 505, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 546, 547, 548, 549]","[475, 477, 478, 479, 481, 482, 486, 488, 493, 496, 497, 498, 500, 501, 506, 507, 508, 509, 511, 516, 517, 530, 532, 545]",2553300
"('ATTR_1', 'ATTR_10')",2,50,0,14,19,17,"[476, 477, 479, 480, 481, 482, 484, 485, 488, 489, 490, 494, 498, 499]","[500, 502, 503, 504, 505, 508, 511, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522, 523, 524]","[525, 526, 527, 528, 529, 533, 534, 535, 536, 537, 539, 540, 542, 543, 546, 547, 548]","[476, 477, 479, 480, 481, 482, 484, 485, 488, 489, 490, 494, 498, 499, 500, 502, 503, 504, 505, 508, 511, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 533, 534, 535, 536, 537, 539, 540, 542, 543, 546, 547, 548]",[],"[476, 477, 479, 480, 481, 482, 484, 485, 488, 489, 490, 494, 498, 499, 500, 502, 503, 504, 505, 508, 511, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 533, 534, 535, 536, 537, 539, 540, 542, 543, 546, 547, 548]","[475, 478, 483, 486, 487, 491, 492, 493, 495, 496, 497, 501, 506, 507, 509, 510, 516, 530, 531, 532, 538, 541, 544, 545, 549]",2494700
"('ATTR_2', 'ATTR_3')",2,49,3,15,13,21,"[475, 476, 478, 479, 480, 481, 482, 486, 487, 488, 492, 493, 494, 495, 499]","[500, 501, 502, 504, 506, 508, 510, 512, 515, 516, 517, 519, 522]","[526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 541, 542, 543, 545, 547, 548, 549]","[201, 310, 344, 475, 476, 478, 479, 480, 481, 482, 486, 487, 488, 492, 493, 494, 495, 499, 500, 501, 502, 504, 506, 508, 510, 512, 515, 516, 517, 519, 522, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 541, 542, 543, 545, 547, 548, 549]","[201, 310, 344]","[475, 476, 478, 479, 480, 481, 482, 486, 487, 488, 492, 493, 494, 495, 499, 500, 501, 502, 504, 506, 508, 510, 512, 515, 516, 517, 519, 522, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 541, 542, 543, 545, 547, 548, 549]","[477, 483, 484, 485, 489, 490, 491, 496, 497, 498, 503, 505, 507, 509, 511, 513, 514, 518, 520, 521, 523, 524, 525, 540, 544, 546]",2527800
