USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs_low_LEN,OLs_medium_LEN,OLs_strong_LEN,OLs_low,OLs_medium,OLs_strong,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('ATTR_1', 'ATTR_2')",2,28,0,4,8,16,"[476, 489, 492, 499]","[503, 504, 506, 512, 514, 515, 519, 522]","[528, 529, 531, 533, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 547, 548]","[476, 489, 492, 499, 503, 504, 506, 512, 514, 515, 519, 522, 528, 529, 531, 533, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 547, 548]",[],"[476, 489, 492, 499, 503, 504, 506, 512, 514, 515, 519, 522, 528, 529, 531, 533, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 547, 548]","[475, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 490, 491, 493, 494, 495, 496, 497, 498, 500, 501, 502, 505, 507, 508, 509, 510, 511, 513, 516, 517, 518, 520, 521, 523, 524, 525, 526, 527, 530, 532, 534, 544, 546, 549]",287816500
"('ATTR_1', 'ATTR_3')",2,28,0,6,9,13,"[479, 480, 482, 490, 494, 499]","[502, 504, 506, 508, 512, 514, 516, 517, 522]","[526, 527, 528, 529, 531, 534, 535, 536, 539, 540, 542, 543, 547]","[479, 480, 482, 490, 494, 499, 502, 504, 506, 508, 512, 514, 516, 517, 522, 526, 527, 528, 529, 531, 534, 535, 536, 539, 540, 542, 543, 547]",[],"[479, 480, 482, 490, 494, 499, 502, 504, 506, 508, 512, 514, 516, 517, 522, 526, 527, 528, 529, 531, 534, 535, 536, 539, 540, 542, 543, 547]","[475, 476, 477, 478, 481, 483, 484, 485, 486, 487, 488, 489, 491, 492, 493, 495, 496, 497, 498, 500, 501, 503, 505, 507, 509, 510, 511, 513, 515, 518, 519, 520, 521, 523, 524, 525, 530, 532, 533, 537, 538, 541, 544, 545, 546, 548, 549]",216402300
"('ATTR_1', 'ATTR_4')",2,28,0,5,12,11,"[479, 480, 483, 487, 489]","[502, 503, 504, 505, 506, 508, 513, 514, 515, 518, 520, 522]","[525, 526, 527, 529, 531, 535, 536, 539, 540, 545, 547]","[479, 480, 483, 487, 489, 502, 503, 504, 505, 506, 508, 513, 514, 515, 518, 520, 522, 525, 526, 527, 529, 531, 535, 536, 539, 540, 545, 547]",[],"[479, 480, 483, 487, 489, 502, 503, 504, 505, 506, 508, 513, 514, 515, 518, 520, 522, 525, 526, 527, 529, 531, 535, 536, 539, 540, 545, 547]","[475, 476, 477, 478, 481, 482, 484, 485, 486, 488, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 501, 507, 509, 510, 511, 512, 516, 517, 519, 521, 523, 524, 528, 530, 532, 533, 534, 537, 538, 541, 542, 543, 544, 546, 548, 549]",212633000
"('ATTR_1', 'ATTR_5')",2,28,0,3,11,14,"[485, 490, 499]","[504, 505, 508, 512, 514, 517, 518, 519, 520, 521, 522]","[526, 528, 529, 534, 535, 536, 538, 539, 540, 541, 543, 544, 545, 547]","[485, 490, 499, 504, 505, 508, 512, 514, 517, 518, 519, 520, 521, 522, 526, 528, 529, 534, 535, 536, 538, 539, 540, 541, 543, 544, 545, 547]",[],"[485, 490, 499, 504, 505, 508, 512, 514, 517, 518, 519, 520, 521, 522, 526, 528, 529, 534, 535, 536, 538, 539, 540, 541, 543, 544, 545, 547]","[475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 486, 487, 488, 489, 491, 492, 493, 494, 495, 496, 497, 498, 500, 501, 502, 503, 506, 507, 509, 510, 511, 513, 515, 516, 523, 524, 525, 527, 530, 531, 532, 533, 537, 542, 546, 548, 549]",213597000
"('ATTR_1', 'ATTR_6')",2,28,0,5,9,14,"[476, 480, 489, 495, 499]","[503, 504, 505, 508, 513, 514, 515, 519, 522]","[525, 526, 528, 529, 532, 536, 539, 540, 541, 542, 545, 546, 547, 548]","[476, 480, 489, 495, 499, 503, 504, 505, 508, 513, 514, 515, 519, 522, 525, 526, 528, 529, 532, 536, 539, 540, 541, 542, 545, 546, 547, 548]",[],"[476, 480, 489, 495, 499, 503, 504, 505, 508, 513, 514, 515, 519, 522, 525, 526, 528, 529, 532, 536, 539, 540, 541, 542, 545, 546, 547, 548]","[475, 477, 478, 479, 481, 482, 483, 484, 485, 486, 487, 488, 490, 491, 492, 493, 494, 496, 497, 498, 500, 501, 502, 506, 507, 509, 510, 511, 512, 516, 517, 518, 520, 521, 523, 524, 527, 530, 531, 533, 534, 535, 537, 538, 543, 544, 549]",237208000
"('ATTR_1', 'ATTR_7')",2,28,0,2,12,14,"[480, 494]","[500, 502, 504, 510, 511, 512, 514, 518, 519, 520, 522, 523]","[525, 528, 529, 530, 532, 533, 534, 535, 536, 539, 540, 542, 546, 547]","[480, 494, 500, 502, 504, 510, 511, 512, 514, 518, 519, 520, 522, 523, 525, 528, 529, 530, 532, 533, 534, 535, 536, 539, 540, 542, 546, 547]",[],"[480, 494, 500, 502, 504, 510, 511, 512, 514, 518, 519, 520, 522, 523, 525, 528, 529, 530, 532, 533, 534, 535, 536, 539, 540, 542, 546, 547]","[475, 476, 477, 478, 479, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 495, 496, 497, 498, 499, 501, 503, 505, 506, 507, 508, 509, 513, 515, 516, 517, 521, 524, 526, 527, 531, 537, 538, 541, 543, 544, 545, 548, 549]",243911800
"('ATTR_1', 'ATTR_8')",2,28,0,3,10,15,"[480, 498, 499]","[504, 509, 512, 513, 514, 515, 517, 518, 519, 521]","[525, 528, 529, 530, 532, 533, 534, 536, 537, 539, 541, 543, 546, 547, 548]","[480, 498, 499, 504, 509, 512, 513, 514, 515, 517, 518, 519, 521, 525, 528, 529, 530, 532, 533, 534, 536, 537, 539, 541, 543, 546, 547, 548]",[],"[480, 498, 499, 504, 509, 512, 513, 514, 515, 517, 518, 519, 521, 525, 528, 529, 530, 532, 533, 534, 536, 537, 539, 541, 543, 546, 547, 548]","[475, 476, 477, 478, 479, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 500, 501, 502, 503, 505, 506, 507, 508, 510, 511, 516, 520, 522, 523, 524, 526, 527, 531, 535, 538, 540, 542, 544, 545, 549]",240847200
"('ATTR_1', 'ATTR_9')",2,28,0,5,7,16,"[480, 484, 487, 489, 499]","[503, 505, 514, 515, 520, 521, 522]","[525, 526, 527, 529, 531, 533, 534, 536, 537, 539, 540, 542, 543, 544, 546, 547]","[480, 484, 487, 489, 499, 503, 505, 514, 515, 520, 521, 522, 525, 526, 527, 529, 531, 533, 534, 536, 537, 539, 540, 542, 543, 544, 546, 547]",[],"[480, 484, 487, 489, 499, 503, 505, 514, 515, 520, 521, 522, 525, 526, 527, 529, 531, 533, 534, 536, 537, 539, 540, 542, 543, 544, 546, 547]","[475, 476, 477, 478, 479, 481, 482, 483, 485, 486, 488, 490, 491, 492, 493, 494, 495, 496, 497, 498, 500, 501, 502, 504, 506, 507, 508, 509, 510, 511, 512, 513, 516, 517, 518, 519, 523, 524, 528, 530, 532, 535, 538, 541, 545, 548, 549]",255544300
"('ATTR_1', 'ATTR_10')",2,28,0,3,14,11,"[480, 489, 499]","[502, 504, 505, 511, 513, 514, 515, 517, 518, 519, 520, 521, 522, 524]","[527, 528, 529, 534, 535, 536, 539, 540, 542, 543, 547]","[480, 489, 499, 502, 504, 505, 511, 513, 514, 515, 517, 518, 519, 520, 521, 522, 524, 527, 528, 529, 534, 535, 536, 539, 540, 542, 543, 547]",[],"[480, 489, 499, 502, 504, 505, 511, 513, 514, 515, 517, 518, 519, 520, 521, 522, 524, 527, 528, 529, 534, 535, 536, 539, 540, 542, 543, 547]","[475, 476, 477, 478, 479, 481, 482, 483, 484, 485, 486, 487, 488, 490, 491, 492, 493, 494, 495, 496, 497, 498, 500, 501, 503, 506, 507, 508, 509, 510, 512, 516, 523, 525, 526, 530, 531, 532, 533, 537, 538, 541, 544, 545, 546, 548, 549]",240724400
"('ATTR_2', 'ATTR_3')",2,28,0,7,10,11,"[476, 480, 486, 493, 494, 495, 499]","[501, 502, 504, 506, 508, 512, 516, 517, 519, 522]","[526, 527, 528, 531, 533, 538, 541, 542, 543, 545, 547]","[476, 480, 486, 493, 494, 495, 499, 501, 502, 504, 506, 508, 512, 516, 517, 519, 522, 526, 527, 528, 531, 533, 538, 541, 542, 543, 545, 547]",[],"[476, 480, 486, 493, 494, 495, 499, 501, 502, 504, 506, 508, 512, 516, 517, 519, 522, 526, 527, 528, 531, 533, 538, 541, 542, 543, 545, 547]","[475, 477, 478, 479, 481, 482, 483, 484, 485, 487, 488, 489, 490, 491, 492, 496, 497, 498, 500, 503, 505, 507, 509, 510, 511, 513, 514, 515, 518, 520, 521, 523, 524, 525, 529, 530, 532, 534, 535, 536, 537, 539, 540, 544, 546, 548, 549]",223171900
