obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
2;13;28.889;31;25.833;60;28.571;71;28.175;85;40.476;28;23.333;1;2.222;1;10.000;0;0.000;290;28.628
4;4;8.889;7;5.833;5;2.381;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;17;1.678
7;9;20.000;22;18.333;45;21.429;68;26.984;68;32.381;22;18.333;11;24.444;5;50.000;0;0.000;250;24.679
10;4;8.889;11;9.167;18;8.571;3;1.190;11;5.238;3;2.500;0;0.000;0;0.000;0;0.000;50;4.936
11;9;20.000;9;7.500;9;4.286;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;28;2.764
12;1;2.222;7;5.833;6;2.857;1;0.397;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
14;1;2.222;3;2.500;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
18;1;2.222;0;0.000;0;0.000;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
20;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
26;9;20.000;21;17.500;38;18.095;0;0.000;14;6.667;0;0.000;0;0.000;0;0.000;0;0.000;82;8.095
27;5;11.111;4;3.333;1;0.476;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
29;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
30;4;8.889;10;8.333;10;4.762;7;2.778;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;34;3.356
35;9;20.000;35;29.167;59;28.095;55;21.825;18;8.571;6;5.000;10;22.222;2;20.000;0;0.000;194;19.151
36;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
38;1;2.222;1;0.833;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
44;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
45;3;6.667;7;5.833;10;4.762;10;3.968;6;2.857;1;0.833;0;0.000;0;0.000;0;0.000;37;3.653
46;5;11.111;13;10.833;11;5.238;3;1.190;7;3.333;3;2.500;2;4.444;0;0.000;0;0.000;44;4.344
47;3;6.667;1;0.833;1;0.476;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
49;7;15.556;16;13.333;28;13.333;14;5.556;8;3.810;11;9.167;0;0.000;0;0.000;0;0.000;84;8.292
51;3;6.667;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
53;1;2.222;3;2.500;2;0.952;0;0.000;1;0.476;1;0.833;0;0.000;0;0.000;0;0.000;8;0.790
54;1;2.222;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
55;2;4.444;11;9.167;6;2.857;1;0.397;7;3.333;2;1.667;0;0.000;0;0.000;0;0.000;29;2.863
57;9;20.000;10;8.333;20;9.524;28;11.111;7;3.333;5;4.167;0;0.000;0;0.000;0;0.000;79;7.799
60;9;20.000;31;25.833;69;32.857;95;37.698;42;20.000;32;26.667;8;17.778;4;40.000;1;100.000;291;28.727
63;9;20.000;15;12.500;17;8.095;18;7.143;13;6.190;1;0.833;0;0.000;1;10.000;0;0.000;74;7.305
64;1;2.222;3;2.500;5;2.381;6;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;15;1.481
66;7;15.556;14;11.667;31;14.762;26;10.317;28;13.333;9;7.500;6;13.333;3;30.000;0;0.000;124;12.241
68;7;15.556;17;14.167;19;9.048;8;3.175;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;53;5.232
71;1;2.222;3;2.500;2;0.952;1;0.397;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
78;5;11.111;3;2.500;5;2.381;11;4.365;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;28;2.764
80;1;2.222;0;0.000;4;1.905;1;0.397;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;15;1.481
81;11;24.444;28;23.333;52;24.762;49;19.444;57;27.143;35;29.167;17;37.778;2;20.000;1;100.000;252;24.877
83;0;0.000;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
84;0;0.000;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
85;1;2.222;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
86;3;6.667;10;8.333;7;3.333;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;21;2.073
88;13;28.889;22;18.333;33;15.714;48;19.048;31;14.762;13;10.833;12;26.667;0;0.000;0;0.000;172;16.979
89;2;4.444;3;2.500;6;2.857;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
90;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
92;5;11.111;9;7.500;12;5.714;0;0.000;1;0.476;2;1.667;0;0.000;0;0.000;0;0.000;29;2.863
93;4;8.889;3;2.500;4;1.905;3;1.190;9;4.286;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
97;9;20.000;23;19.167;25;11.905;49;19.444;41;19.524;24;20.000;4;8.889;0;0.000;0;0.000;175;17.275
98;4;8.889;6;5.000;3;1.429;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;1.382
100;3;6.667;4;3.333;2;0.952;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
101;5;11.111;4;3.333;7;3.333;4;1.587;0;0.000;1;0.833;0;0.000;0;0.000;0;0.000;21;2.073
104;2;4.444;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
