USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs_low_LEN,OLs_medium_LEN,OLs_strong_LEN,OLs_low,OLs_medium,OLs_strong,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('ATTR_1', 'ATTR_2')",2,49,6,14,16,19,"[475, 480, 482, 483, 484, 485, 486, 487, 489, 490, 492, 493, 495, 499]","[501, 502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 516, 517, 518, 521, 522]","[528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 543, 545, 546, 547, 549]","[60, 127, 146, 201, 226, 257, 475, 480, 482, 483, 484, 485, 486, 487, 489, 490, 492, 493, 495, 499, 501, 502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 516, 517, 518, 521, 522, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 543, 545, 546, 547, 549]","[60, 127, 146, 201, 226, 257]","[475, 480, 482, 483, 484, 485, 486, 487, 489, 490, 492, 493, 495, 499, 501, 502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 516, 517, 518, 521, 522, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 543, 545, 546, 547, 549]","[476, 477, 478, 479, 481, 488, 491, 494, 496, 497, 498, 500, 507, 509, 511, 515, 519, 520, 523, 524, 525, 526, 527, 542, 544, 548]",7882900
"('ATTR_1', 'ATTR_3')",2,49,6,14,18,17,"[476, 478, 479, 480, 482, 484, 485, 486, 489, 490, 493, 495, 497, 499]","[500, 501, 502, 503, 504, 505, 506, 508, 509, 512, 513, 514, 515, 516, 517, 518, 519, 522]","[525, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 542, 543, 546, 547, 548, 549]","[26, 60, 236, 310, 344, 404, 476, 478, 479, 480, 482, 484, 485, 486, 489, 490, 493, 495, 497, 499, 500, 501, 502, 503, 504, 505, 506, 508, 509, 512, 513, 514, 515, 516, 517, 518, 519, 522, 525, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 542, 543, 546, 547, 548, 549]","[26, 60, 236, 310, 344, 404]","[476, 478, 479, 480, 482, 484, 485, 486, 489, 490, 493, 495, 497, 499, 500, 501, 502, 503, 504, 505, 506, 508, 509, 512, 513, 514, 515, 516, 517, 518, 519, 522, 525, 526, 527, 528, 529, 531, 534, 535, 536, 537, 539, 542, 543, 546, 547, 548, 549]","[475, 477, 481, 483, 487, 488, 491, 492, 494, 496, 498, 507, 510, 511, 520, 521, 523, 524, 530, 532, 533, 538, 540, 541, 544, 545]",18852700
"('ATTR_1', 'ATTR_4')",2,52,3,16,17,19,"[476, 478, 479, 480, 482, 483, 484, 485, 486, 487, 489, 490, 493, 494, 495, 499]","[502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522]","[525, 526, 527, 528, 529, 531, 534, 535, 536, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]","[26, 60, 192, 476, 478, 479, 480, 482, 483, 484, 485, 486, 487, 489, 490, 493, 494, 495, 499, 502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522, 525, 526, 527, 528, 529, 531, 534, 535, 536, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]","[26, 60, 192]","[476, 478, 479, 480, 482, 483, 484, 485, 486, 487, 489, 490, 493, 494, 495, 499, 502, 503, 504, 505, 506, 508, 510, 512, 513, 514, 515, 517, 518, 519, 520, 521, 522, 525, 526, 527, 528, 529, 531, 534, 535, 536, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548]","[475, 477, 481, 488, 491, 492, 496, 497, 498, 500, 501, 507, 509, 511, 516, 523, 524, 530, 532, 533, 537, 538, 549]",9568000
"('ATTR_1', 'ATTR_5')",2,48,7,13,15,20,"[476, 479, 480, 483, 484, 485, 487, 489, 490, 491, 494, 498, 499]","[500, 502, 503, 505, 507, 508, 510, 513, 514, 515, 517, 519, 520, 521, 522]","[525, 526, 528, 529, 530, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 547, 548, 549]","[26, 146, 156, 190, 198, 257, 404, 476, 479, 480, 483, 484, 485, 487, 489, 490, 491, 494, 498, 499, 500, 502, 503, 505, 507, 508, 510, 513, 514, 515, 517, 519, 520, 521, 522, 525, 526, 528, 529, 530, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 547, 548, 549]","[26, 146, 156, 190, 198, 257, 404]","[476, 479, 480, 483, 484, 485, 487, 489, 490, 491, 494, 498, 499, 500, 502, 503, 505, 507, 508, 510, 513, 514, 515, 517, 519, 520, 521, 522, 525, 526, 528, 529, 530, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 547, 548, 549]","[475, 477, 478, 481, 482, 486, 488, 492, 493, 495, 496, 497, 501, 504, 506, 509, 511, 512, 516, 518, 523, 524, 527, 531, 532, 533, 546]",10717300
"('ATTR_1', 'ATTR_6')",2,50,5,15,14,21,"[475, 476, 479, 480, 482, 483, 484, 485, 489, 490, 492, 494, 495, 498, 499]","[502, 503, 504, 505, 508, 512, 513, 514, 515, 518, 519, 521, 522, 523]","[525, 526, 528, 529, 531, 532, 533, 534, 535, 536, 537, 539, 540, 541, 542, 543, 545, 546, 547, 548, 549]","[26, 335, 393, 404, 463, 475, 476, 479, 480, 482, 483, 484, 485, 489, 490, 492, 494, 495, 498, 499, 502, 503, 504, 505, 508, 512, 513, 514, 515, 518, 519, 521, 522, 523, 525, 526, 528, 529, 531, 532, 533, 534, 535, 536, 537, 539, 540, 541, 542, 543, 545, 546, 547, 548, 549]","[26, 335, 393, 404, 463]","[475, 476, 479, 480, 482, 483, 484, 485, 489, 490, 492, 494, 495, 498, 499, 502, 503, 504, 505, 508, 512, 513, 514, 515, 518, 519, 521, 522, 523, 525, 526, 528, 529, 531, 532, 533, 534, 535, 536, 537, 539, 540, 541, 542, 543, 545, 546, 547, 548, 549]","[477, 478, 481, 486, 487, 488, 491, 493, 496, 497, 500, 501, 506, 507, 509, 510, 511, 516, 517, 520, 524, 527, 530, 538, 544]",8767900
"('ATTR_1', 'ATTR_7')",2,49,6,14,16,19,"[475, 480, 482, 483, 484, 485, 487, 489, 490, 494, 495, 497, 498, 499]","[500, 502, 503, 504, 508, 510, 511, 512, 514, 515, 517, 519, 520, 521, 522, 523]","[525, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 539, 540, 541, 542, 543, 546, 547, 548]","[60, 138, 181, 209, 284, 404, 475, 480, 482, 483, 484, 485, 487, 489, 490, 494, 495, 497, 498, 499, 500, 502, 503, 504, 508, 510, 511, 512, 514, 515, 517, 519, 520, 521, 522, 523, 525, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 539, 540, 541, 542, 543, 546, 547, 548]","[60, 138, 181, 209, 284, 404]","[475, 480, 482, 483, 484, 485, 487, 489, 490, 494, 495, 497, 498, 499, 500, 502, 503, 504, 508, 510, 511, 512, 514, 515, 517, 519, 520, 521, 522, 523, 525, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 539, 540, 541, 542, 543, 546, 547, 548]","[476, 477, 478, 479, 481, 486, 488, 491, 492, 493, 496, 501, 505, 506, 507, 509, 513, 516, 518, 524, 526, 527, 538, 544, 545, 549]",7785800
"('ATTR_1', 'ATTR_8')",2,50,5,13,16,21,"[476, 479, 480, 482, 483, 484, 485, 487, 489, 490, 494, 498, 499]","[502, 503, 504, 505, 509, 511, 512, 513, 514, 515, 517, 518, 519, 521, 522, 524]","[525, 526, 528, 529, 530, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 546, 547, 548]","[60, 146, 257, 404, 440, 476, 479, 480, 482, 483, 484, 485, 487, 489, 490, 494, 498, 499, 502, 503, 504, 505, 509, 511, 512, 513, 514, 515, 517, 518, 519, 521, 522, 524, 525, 526, 528, 529, 530, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 546, 547, 548]","[60, 146, 257, 404, 440]","[476, 479, 480, 482, 483, 484, 485, 487, 489, 490, 494, 498, 499, 502, 503, 504, 505, 509, 511, 512, 513, 514, 515, 517, 518, 519, 521, 522, 524, 525, 526, 528, 529, 530, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 545, 546, 547, 548]","[475, 477, 478, 481, 486, 488, 491, 492, 493, 495, 496, 497, 500, 501, 506, 507, 508, 510, 516, 520, 523, 527, 531, 544, 549]",7916500
"('ATTR_1', 'ATTR_9')",2,54,1,16,16,22,"[476, 480, 481, 483, 484, 485, 486, 487, 489, 490, 491, 492, 494, 495, 497, 499]","[502, 503, 504, 505, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 524]","[525, 526, 527, 528, 529, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 546, 547, 548, 549]","[7, 476, 480, 481, 483, 484, 485, 486, 487, 489, 490, 491, 492, 494, 495, 497, 499, 502, 503, 504, 505, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 546, 547, 548, 549]",[7],"[476, 480, 481, 483, 484, 485, 486, 487, 489, 490, 491, 492, 494, 495, 497, 499, 502, 503, 504, 505, 510, 512, 513, 514, 515, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 531, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 546, 547, 548, 549]","[475, 477, 478, 479, 482, 488, 493, 496, 498, 500, 501, 506, 507, 508, 509, 511, 516, 517, 530, 532, 545]",8118900
"('ATTR_1', 'ATTR_10')",2,47,8,11,17,19,"[476, 479, 480, 481, 483, 488, 489, 490, 494, 496, 499]","[500, 502, 503, 504, 505, 508, 511, 512, 513, 514, 516, 517, 520, 521, 522, 523, 524]","[525, 526, 527, 528, 529, 531, 533, 535, 536, 537, 538, 539, 540, 541, 542, 543, 546, 547, 548]","[26, 60, 146, 183, 236, 250, 257, 402, 476, 479, 480, 481, 483, 488, 489, 490, 494, 496, 499, 500, 502, 503, 504, 505, 508, 511, 512, 513, 514, 516, 517, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 531, 533, 535, 536, 537, 538, 539, 540, 541, 542, 543, 546, 547, 548]","[26, 60, 146, 183, 236, 250, 257, 402]","[476, 479, 480, 481, 483, 488, 489, 490, 494, 496, 499, 500, 502, 503, 504, 505, 508, 511, 512, 513, 514, 516, 517, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 531, 533, 535, 536, 537, 538, 539, 540, 541, 542, 543, 546, 547, 548]","[475, 477, 478, 482, 484, 485, 486, 487, 491, 492, 493, 495, 497, 498, 501, 506, 507, 509, 510, 515, 518, 519, 530, 532, 534, 544, 545, 549]",7679400
"('ATTR_2', 'ATTR_3')",2,43,12,13,14,16,"[476, 477, 479, 480, 481, 486, 487, 490, 492, 493, 494, 497, 499]","[500, 501, 502, 504, 506, 508, 509, 512, 515, 516, 517, 519, 521, 522]","[526, 527, 528, 529, 530, 532, 533, 534, 537, 538, 539, 541, 542, 545, 547, 549]","[12, 127, 140, 141, 198, 201, 226, 258, 310, 311, 344, 461, 476, 477, 479, 480, 481, 486, 487, 490, 492, 493, 494, 497, 499, 500, 501, 502, 504, 506, 508, 509, 512, 515, 516, 517, 519, 521, 522, 526, 527, 528, 529, 530, 532, 533, 534, 537, 538, 539, 541, 542, 545, 547, 549]","[12, 127, 140, 141, 198, 201, 226, 258, 310, 311, 344, 461]","[476, 477, 479, 480, 481, 486, 487, 490, 492, 493, 494, 497, 499, 500, 501, 502, 504, 506, 508, 509, 512, 515, 516, 517, 519, 521, 522, 526, 527, 528, 529, 530, 532, 533, 534, 537, 538, 539, 541, 542, 545, 547, 549]","[475, 478, 482, 483, 484, 485, 488, 489, 491, 495, 496, 498, 503, 505, 507, 510, 511, 513, 514, 518, 520, 523, 524, 525, 531, 535, 536, 540, 543, 544, 546, 548]",8243400
