USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('RI', 'Na')",2,1,16,"[47, 56, 103, 105, 106, 107, 110, 111, 112, 131, 165, 166, 184, 185, 188, 189, 200]","[47, 56, 103, 105, 106, 107, 110, 111, 112, 131, 165, 166, 185, 188, 189, 200]",[184],"[176, 177, 178, 179, 180, 181, 182, 183]",2303900
"('RI', 'Mg')",2,1,18,"[47, 103, 105, 106, 107, 110, 111, 112, 131, 170, 171, 172, 184, 185, 195, 196, 198, 200, 202]","[47, 103, 105, 106, 107, 110, 111, 112, 131, 170, 171, 172, 185, 195, 196, 198, 200, 202]",[184],"[176, 177, 178, 179, 180, 181, 182, 183]",1714400
"('RI', 'Al')",2,1,22,"[21, 47, 56, 103, 105, 106, 107, 110, 111, 112, 131, 163, 171, 172, 184, 185, 188, 192, 195, 196, 198, 208, 209]","[21, 47, 56, 103, 105, 106, 107, 110, 111, 112, 131, 163, 171, 172, 185, 188, 192, 195, 196, 198, 208, 209]",[184],"[176, 177, 178, 179, 180, 181, 182, 183]",1712000
"('RI', 'Si')",2,2,21,"[47, 56, 103, 104, 105, 106, 107, 109, 110, 111, 112, 131, 163, 166, 171, 172, 180, 184, 185, 186, 188, 189, 201]","[47, 56, 103, 104, 105, 106, 107, 109, 110, 111, 112, 131, 163, 166, 171, 172, 185, 186, 188, 189, 201]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",1714100
"('RI', 'K')",2,2,13,"[47, 103, 105, 106, 107, 110, 111, 112, 131, 171, 172, 180, 184, 185, 201]","[47, 103, 105, 106, 107, 110, 111, 112, 131, 171, 172, 185, 201]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",1767700
"('RI', 'Ca')",2,2,23,"[47, 56, 103, 105, 106, 107, 109, 110, 111, 112, 124, 131, 163, 167, 168, 169, 170, 173, 183, 184, 185, 186, 187, 189, 207]","[47, 56, 103, 105, 106, 107, 109, 110, 111, 112, 124, 131, 163, 167, 168, 169, 170, 173, 185, 186, 187, 189, 207]","[183, 184]","[176, 177, 178, 179, 180, 181, 182]",1809100
"('RI', 'Ba')",2,1,22,"[47, 103, 106, 107, 110, 111, 112, 131, 163, 184, 185, 186, 189, 193, 194, 203, 205, 206, 207, 210, 211, 212, 213]","[47, 103, 106, 107, 110, 111, 112, 131, 163, 185, 186, 189, 193, 194, 203, 205, 206, 207, 210, 211, 212, 213]",[184],"[176, 177, 178, 179, 180, 181, 182, 183]",1841500
"('RI', 'Fe')",2,1,23,"[5, 10, 12, 44, 47, 56, 71, 103, 105, 106, 107, 110, 111, 112, 118, 131, 135, 142, 145, 162, 174, 175, 184, 185]","[5, 10, 12, 44, 47, 56, 71, 103, 105, 106, 107, 110, 111, 112, 118, 131, 135, 142, 145, 162, 174, 175, 185]",[184],"[176, 177, 178, 179, 180, 181, 182, 183]",1670600
"('Na', 'Mg')",2,1,24,"[70, 105, 106, 107, 110, 111, 112, 165, 166, 167, 168, 184, 189, 191, 193, 197, 199, 200, 201, 202, 203, 204, 205, 206, 210]","[70, 105, 106, 107, 110, 111, 112, 165, 166, 167, 168, 189, 191, 193, 197, 199, 200, 201, 202, 203, 204, 205, 206, 210]",[184],"[176, 177, 178, 179, 180, 181, 182, 183]",1700200
"('Na', 'Al')",2,2,25,"[21, 38, 39, 105, 106, 110, 111, 163, 165, 166, 171, 172, 183, 184, 189, 191, 192, 195, 196, 197, 198, 199, 200, 202, 204, 208, 209]","[21, 38, 39, 105, 106, 110, 111, 163, 165, 166, 171, 172, 189, 191, 192, 195, 196, 197, 198, 199, 200, 202, 204, 208, 209]","[183, 184]","[176, 177, 178, 179, 180, 181, 182]",1743800
"('Na', 'Si')",2,2,17,"[103, 105, 106, 107, 109, 110, 111, 163, 165, 166, 171, 172, 180, 184, 188, 189, 200, 201, 202]","[103, 105, 106, 107, 109, 110, 111, 163, 165, 166, 171, 172, 188, 189, 200, 201, 202]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",1769500
"('Na', 'K')",2,1,13,"[105, 106, 110, 111, 163, 165, 166, 171, 172, 184, 186, 189, 201, 207]","[105, 106, 110, 111, 163, 165, 166, 171, 172, 186, 189, 201, 207]",[184],"[176, 177, 178, 179, 180, 181, 182, 183]",1732500
"('Na', 'Ca')",2,3,17,"[103, 105, 106, 107, 108, 110, 111, 112, 131, 163, 165, 166, 170, 173, 181, 183, 184, 185, 186, 189]","[103, 105, 106, 107, 108, 110, 111, 112, 131, 163, 165, 166, 170, 173, 185, 186, 189]","[181, 183, 184]","[176, 177, 178, 179, 180, 182]",1893600
"('Na', 'Ba')",2,2,19,"[105, 106, 110, 111, 163, 165, 166, 181, 184, 186, 189, 193, 194, 203, 205, 206, 207, 210, 211, 212, 213]","[105, 106, 110, 111, 163, 165, 166, 186, 189, 193, 194, 203, 205, 206, 207, 210, 211, 212, 213]","[181, 184]","[176, 177, 178, 179, 180, 182, 183]",1711400
