USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('RI', 'Na')",2,4,28,"[21, 47, 56, 84, 97, 101, 103, 104, 105, 106, 107, 110, 111, 112, 131, 149, 165, 166, 170, 171, 172, 180, 181, 183, 184, 185, 188, 189, 199, 200, 201, 202]","[21, 47, 56, 84, 97, 101, 103, 104, 105, 106, 107, 110, 111, 112, 131, 149, 165, 166, 170, 171, 172, 185, 188, 189, 199, 200, 201, 202]","[180, 181, 183, 184]","[176, 177, 178, 179, 182]",421988000
"('RI', 'Mg')",2,3,29,"[0, 47, 56, 84, 103, 104, 105, 106, 107, 108, 110, 111, 112, 129, 130, 131, 163, 164, 165, 166, 170, 171, 172, 174, 175, 180, 181, 184, 185, 188, 189, 190]","[0, 47, 56, 84, 103, 104, 105, 106, 107, 108, 110, 111, 112, 129, 130, 131, 163, 164, 165, 166, 170, 171, 172, 174, 175, 185, 188, 189, 190]","[180, 181, 184]","[176, 177, 178, 179, 182, 183]",425538200
"('RI', 'Al')",2,3,29,"[21, 38, 39, 47, 50, 56, 84, 103, 105, 106, 107, 109, 110, 111, 112, 131, 152, 157, 163, 170, 171, 172, 180, 183, 184, 185, 188, 192, 195, 198, 208, 209]","[21, 38, 39, 47, 50, 56, 84, 103, 105, 106, 107, 109, 110, 111, 112, 131, 152, 157, 163, 170, 171, 172, 185, 188, 192, 195, 198, 208, 209]","[180, 183, 184]","[176, 177, 178, 179, 181, 182]",421453900
"('RI', 'Si')",2,2,30,"[47, 56, 63, 70, 84, 103, 104, 105, 106, 107, 109, 110, 111, 112, 131, 151, 163, 166, 167, 170, 171, 172, 175, 180, 184, 185, 186, 187, 188, 189, 201, 202]","[47, 56, 63, 70, 84, 103, 104, 105, 106, 107, 109, 110, 111, 112, 131, 151, 163, 166, 167, 170, 171, 172, 175, 185, 186, 187, 188, 189, 201, 202]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",420755400
"('RI', 'K')",2,2,30,"[47, 50, 56, 63, 84, 103, 104, 105, 106, 107, 110, 111, 112, 131, 151, 163, 168, 170, 171, 172, 174, 180, 184, 185, 186, 187, 188, 189, 198, 200, 201, 207]","[47, 50, 56, 63, 84, 103, 104, 105, 106, 107, 110, 111, 112, 131, 151, 163, 168, 170, 171, 172, 174, 185, 186, 187, 188, 189, 198, 200, 201, 207]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",420183500
"('RI', 'Ca')",2,2,30,"[47, 56, 70, 84, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 129, 131, 163, 166, 167, 168, 169, 170, 171, 172, 173, 180, 184, 185, 186, 187, 189, 207]","[47, 56, 70, 84, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 129, 131, 163, 166, 167, 168, 169, 170, 171, 172, 173, 185, 186, 187, 189, 207]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",419866900
"('RI', 'Ba')",2,2,30,"[47, 56, 61, 84, 103, 106, 107, 111, 112, 128, 131, 163, 171, 172, 174, 180, 184, 185, 186, 189, 192, 196, 197, 202, 203, 205, 206, 207, 209, 211, 212, 213]","[47, 56, 61, 84, 103, 106, 107, 111, 112, 128, 131, 163, 171, 172, 174, 185, 186, 189, 192, 196, 197, 202, 203, 205, 206, 207, 209, 211, 212, 213]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",416663100
"('RI', 'Fe')",2,2,30,"[5, 44, 47, 50, 56, 62, 64, 69, 71, 103, 105, 106, 107, 108, 110, 111, 112, 118, 129, 131, 145, 161, 162, 171, 172, 174, 175, 180, 184, 185, 195, 196]","[5, 44, 47, 50, 56, 62, 64, 69, 71, 103, 105, 106, 107, 108, 110, 111, 112, 118, 129, 131, 145, 161, 162, 171, 172, 174, 175, 185, 195, 196]","[180, 184]","[176, 177, 178, 179, 181, 182, 183]",438246800
"('Na', 'Mg')",2,4,28,"[0, 21, 55, 70, 97, 101, 105, 106, 107, 110, 111, 112, 128, 129, 130, 149, 164, 165, 166, 167, 174, 175, 178, 180, 181, 184, 186, 188, 189, 190, 200, 201]","[0, 21, 55, 70, 97, 101, 105, 106, 107, 110, 111, 112, 128, 129, 130, 149, 164, 165, 166, 167, 174, 175, 186, 188, 189, 190, 200, 201]","[178, 180, 181, 184]","[176, 177, 179, 182, 183]",478981300
"('Na', 'Al')",2,2,30,"[21, 38, 39, 50, 105, 106, 107, 110, 111, 112, 163, 165, 166, 171, 172, 174, 183, 184, 189, 191, 192, 195, 196, 197, 198, 199, 200, 201, 202, 204, 208, 209]","[21, 38, 39, 50, 105, 106, 107, 110, 111, 112, 163, 165, 166, 171, 172, 174, 189, 191, 192, 195, 196, 197, 198, 199, 200, 201, 202, 204, 208, 209]","[183, 184]","[176, 177, 178, 179, 180, 181, 182]",457972800
