obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;28;42.424;101;45.909;231;46.667;361;45.581;485;52.489;449;56.692;296;59.798;149;67.727;45;68.182;8;66.667;1;100.000;2154;52.755
1;15;22.727;56;25.455;165;33.333;330;41.667;462;50.000;462;58.333;330;66.667;163;74.091;54;81.818;10;83.333;1;100.000;2048;50.159
3;24;36.364;52;23.636;107;21.616;121;15.278;114;12.338;65;8.207;30;6.061;4;1.818;0;0.000;0;0.000;0;0.000;517;12.662
4;31;46.970;136;61.818;369;74.545;666;84.091;826;89.394;726;91.667;474;95.758;210;95.455;65;98.485;12;100.000;1;100.000;3516;86.113
5;33;50.000;134;60.909;239;48.283;385;48.611;484;52.381;396;50.000;223;45.051;101;45.909;31;46.970;7;58.333;1;100.000;2034;49.816
6;24;36.364;66;30.000;148;29.899;267;33.712;280;30.303;283;35.732;192;38.788;95;43.182;35;53.030;9;75.000;1;100.000;1400;34.289
7;2;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.049
8;22;33.333;67;30.455;175;35.354;297;37.500;394;42.641;366;46.212;268;54.141;126;57.273;35;53.030;5;41.667;0;0.000;1755;42.983
9;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
10;18;27.273;32;14.545;81;16.364;24;3.030;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;155;3.796
11;4;6.061;6;2.727;5;1.010;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
