USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('ATTR_1', 'ATTR_2')",2,5,44,"[0, 5, 37, 61, 63, 77, 82, 135, 136, 142, 147, 159, 160, 166, 167, 173, 187, 188, 207, 216, 217, 225, 227, 229, 237, 261, 264, 271, 274, 296, 299, 306, 318, 328, 330, 332, 337, 340, 348, 366, 376, 380, 393, 405, 417, 461, 474, 522, 546]","[5, 37, 61, 63, 77, 82, 135, 142, 147, 159, 160, 167, 187, 188, 207, 216, 225, 227, 229, 237, 261, 264, 271, 274, 296, 299, 306, 318, 328, 330, 332, 337, 340, 348, 366, 376, 380, 393, 405, 417, 461, 474, 522, 546]","[0, 136, 166, 173, 217]","[2, 6, 46, 50, 53, 89, 91, 186, 191, 204, 206, 209, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",3325100
"('ATTR_1', 'ATTR_3')",2,12,21,"[53, 61, 72, 78, 113, 131, 159, 166, 174, 186, 188, 190, 217, 243, 244, 255, 264, 271, 275, 297, 309, 329, 351, 359, 363, 366, 367, 379, 405, 453, 531, 534, 546]","[61, 72, 78, 113, 131, 159, 174, 188, 190, 244, 264, 271, 275, 309, 329, 366, 379, 405, 453, 534, 546]","[53, 166, 186, 217, 243, 255, 297, 351, 359, 363, 367, 531]","[0, 2, 6, 46, 50, 89, 91, 136, 173, 191, 204, 206, 209, 236, 250, 251, 280, 282, 286, 298, 313, 321, 324, 335, 344, 362, 364, 390, 406, 416, 466, 475, 486, 491, 492, 532, 535, 542]",2615500
"('ATTR_1', 'ATTR_4')",2,0,7,"[159, 187, 264, 271, 275, 350, 380]","[159, 187, 264, 271, 275, 350, 380]",[],"[0, 2, 6, 46, 50, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",3133600
"('ATTR_1', 'ATTR_5')",2,2,37,"[14, 34, 44, 76, 125, 129, 132, 136, 159, 162, 173, 185, 195, 244, 261, 264, 271, 283, 293, 312, 319, 333, 341, 350, 360, 383, 402, 404, 419, 422, 447, 463, 485, 497, 501, 511, 534, 538, 544]","[14, 34, 44, 76, 125, 129, 132, 159, 162, 185, 195, 244, 261, 264, 271, 283, 293, 312, 319, 333, 341, 350, 360, 383, 402, 404, 419, 422, 447, 463, 485, 497, 501, 511, 534, 538, 544]","[136, 173]","[0, 2, 6, 46, 50, 53, 89, 91, 166, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",2842900
"('ATTR_1', 'ATTR_6')",2,2,39,"[34, 35, 94, 120, 127, 138, 140, 159, 177, 181, 195, 221, 239, 264, 270, 271, 273, 292, 293, 308, 314, 349, 363, 367, 369, 375, 381, 385, 422, 434, 452, 457, 459, 470, 471, 476, 477, 489, 500, 510, 527]","[34, 35, 94, 120, 127, 138, 140, 159, 177, 181, 195, 221, 239, 264, 270, 271, 273, 292, 293, 308, 314, 349, 369, 375, 381, 385, 422, 434, 452, 457, 459, 470, 471, 476, 477, 489, 500, 510, 527]","[363, 367]","[0, 2, 6, 46, 50, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 364, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",2443900
"('ATTR_1', 'ATTR_7')",2,5,38,"[4, 5, 6, 18, 20, 50, 67, 84, 85, 92, 95, 116, 124, 149, 159, 165, 195, 217, 227, 241, 242, 248, 257, 264, 271, 284, 290, 303, 310, 346, 359, 374, 413, 422, 441, 462, 473, 483, 489, 491, 509, 514, 527]","[4, 5, 18, 20, 67, 84, 85, 92, 95, 116, 124, 149, 159, 165, 195, 227, 241, 242, 248, 257, 264, 271, 284, 290, 303, 310, 346, 374, 413, 422, 441, 462, 473, 483, 489, 509, 514, 527]","[6, 50, 217, 359, 491]","[0, 2, 46, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 492, 531, 532, 535, 542]",4859400
"('ATTR_1', 'ATTR_8')",2,0,29,"[45, 48, 55, 111, 140, 149, 159, 195, 226, 245, 264, 269, 271, 275, 311, 384, 394, 422, 428, 434, 442, 451, 452, 470, 489, 494, 527, 529, 541]","[45, 48, 55, 111, 140, 149, 159, 195, 226, 245, 264, 269, 271, 275, 311, 384, 394, 422, 428, 434, 442, 451, 452, 470, 489, 494, 527, 529, 541]",[],"[0, 2, 6, 46, 50, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",3691300
"('ATTR_1', 'ATTR_9')",2,3,35,"[0, 4, 6, 29, 49, 52, 71, 79, 81, 82, 84, 124, 140, 159, 166, 174, 190, 203, 215, 222, 261, 264, 271, 275, 284, 299, 315, 318, 349, 350, 378, 497, 509, 511, 512, 516, 518, 546]","[4, 29, 49, 52, 71, 79, 81, 82, 84, 124, 140, 159, 174, 190, 203, 215, 222, 261, 264, 271, 275, 284, 299, 315, 318, 349, 350, 378, 497, 509, 511, 512, 516, 518, 546]","[0, 6, 166]","[2, 46, 50, 53, 89, 91, 136, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",2961200
"('ATTR_1', 'ATTR_10')",2,5,44,"[5, 6, 13, 35, 50, 55, 74, 77, 88, 97, 121, 154, 159, 184, 195, 239, 245, 255, 264, 269, 271, 276, 288, 289, 301, 302, 306, 312, 357, 363, 378, 390, 394, 402, 405, 412, 417, 422, 433, 444, 452, 456, 476, 490, 495, 497, 502, 521, 528]","[5, 13, 35, 55, 74, 77, 88, 97, 121, 154, 159, 184, 195, 239, 245, 264, 269, 271, 276, 288, 289, 301, 302, 306, 312, 357, 378, 394, 402, 405, 412, 417, 422, 433, 444, 452, 456, 476, 490, 495, 497, 502, 521, 528]","[6, 50, 255, 363, 390]","[0, 2, 46, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 364, 367, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",2950800
"('ATTR_1', 'ATTR_11')",2,1,40,"[6, 13, 35, 42, 55, 61, 88, 119, 140, 159, 180, 181, 195, 226, 239, 240, 245, 264, 271, 275, 276, 289, 305, 308, 314, 323, 350, 357, 369, 381, 384, 394, 410, 412, 464, 483, 489, 493, 505, 507, 537]","[13, 35, 42, 55, 61, 88, 119, 140, 159, 180, 181, 195, 226, 239, 240, 245, 264, 271, 275, 276, 289, 305, 308, 314, 323, 350, 357, 369, 381, 384, 394, 410, 412, 464, 483, 489, 493, 505, 507, 537]",[6],"[0, 2, 46, 50, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",6736900
