USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('ATTR_1', 'ATTR_2')",2,6,22,"[0, 46, 61, 63, 135, 136, 147, 159, 160, 167, 173, 187, 207, 216, 217, 264, 271, 274, 330, 337, 340, 405, 417, 461, 474, 491, 522, 546]","[61, 63, 135, 147, 159, 160, 167, 187, 207, 216, 264, 271, 274, 330, 337, 340, 405, 417, 461, 474, 522, 546]","[0, 46, 136, 173, 217, 491]","[2, 6, 50, 53, 89, 91, 166, 186, 191, 204, 206, 209, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 492, 531, 532, 535, 542]",272058400
"('ATTR_1', 'ATTR_3')",2,13,15,"[0, 53, 72, 78, 159, 166, 172, 174, 186, 188, 217, 243, 244, 255, 264, 271, 297, 309, 351, 359, 363, 366, 367, 379, 405, 531, 534, 546]","[72, 78, 159, 172, 174, 188, 244, 264, 271, 309, 366, 379, 405, 534, 546]","[0, 53, 166, 186, 217, 243, 255, 297, 351, 359, 363, 367, 531]","[2, 6, 46, 50, 89, 91, 136, 173, 191, 204, 206, 209, 236, 250, 251, 280, 282, 286, 298, 313, 321, 324, 335, 344, 362, 364, 390, 406, 416, 466, 475, 486, 491, 492, 532, 535, 542]",219076100
"('ATTR_1', 'ATTR_4')",2,7,21,"[6, 46, 50, 91, 103, 140, 144, 148, 159, 166, 187, 244, 257, 261, 264, 271, 318, 319, 350, 359, 394, 459, 462, 466, 494, 495, 497, 513]","[103, 140, 144, 148, 159, 187, 244, 257, 261, 264, 271, 318, 319, 350, 394, 459, 462, 494, 495, 497, 513]","[6, 46, 50, 91, 166, 359, 466]","[0, 2, 53, 89, 136, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 362, 363, 364, 367, 390, 406, 416, 475, 486, 491, 492, 531, 532, 535, 542]",225514900
"('ATTR_1', 'ATTR_5')",2,2,26,"[14, 34, 44, 129, 136, 159, 162, 173, 185, 244, 261, 264, 271, 283, 293, 312, 319, 333, 341, 350, 360, 404, 419, 447, 463, 497, 538, 544]","[14, 34, 44, 129, 159, 162, 185, 244, 261, 264, 271, 283, 293, 312, 319, 333, 341, 350, 360, 404, 419, 447, 463, 497, 538, 544]","[136, 173]","[0, 2, 6, 46, 50, 53, 89, 91, 166, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",222834500
"('ATTR_1', 'ATTR_6')",2,4,24,"[6, 34, 50, 91, 120, 127, 140, 159, 195, 257, 264, 270, 271, 292, 367, 381, 414, 422, 434, 452, 457, 459, 476, 489, 497, 500, 510, 527]","[34, 120, 127, 140, 159, 195, 257, 264, 270, 271, 292, 381, 414, 422, 434, 452, 457, 459, 476, 489, 497, 500, 510, 527]","[6, 50, 91, 367]","[0, 2, 46, 53, 89, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",253235200
"('ATTR_1', 'ATTR_7')",2,4,24,"[4, 6, 50, 67, 84, 85, 116, 124, 159, 165, 195, 241, 257, 264, 271, 284, 310, 343, 346, 359, 413, 441, 452, 459, 489, 491, 495, 527]","[4, 67, 84, 85, 116, 124, 159, 165, 195, 241, 257, 264, 271, 284, 310, 343, 346, 413, 441, 452, 459, 489, 495, 527]","[6, 50, 359, 491]","[0, 2, 46, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 492, 531, 532, 535, 542]",295506200
"('ATTR_1', 'ATTR_8')",2,2,26,"[50, 140, 159, 195, 217, 234, 244, 257, 261, 264, 271, 308, 312, 318, 350, 371, 394, 422, 434, 442, 451, 452, 459, 489, 494, 497, 527, 529]","[140, 159, 195, 234, 244, 257, 261, 264, 271, 308, 312, 318, 350, 371, 394, 422, 434, 442, 451, 452, 459, 489, 494, 497, 527, 529]","[50, 217]","[0, 2, 6, 46, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",255200700
"('ATTR_1', 'ATTR_9')",2,2,26,"[6, 49, 52, 79, 84, 124, 140, 159, 166, 190, 195, 222, 244, 257, 261, 264, 271, 275, 284, 319, 350, 378, 422, 497, 509, 511, 512, 546]","[49, 52, 79, 84, 124, 140, 159, 190, 195, 222, 244, 257, 261, 264, 271, 275, 284, 319, 350, 378, 422, 497, 509, 511, 512, 546]","[6, 166]","[0, 2, 46, 50, 53, 89, 91, 136, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",219788800
"('ATTR_1', 'ATTR_10')",2,4,24,"[6, 13, 50, 77, 154, 159, 195, 239, 255, 264, 271, 288, 302, 306, 312, 357, 363, 378, 394, 417, 433, 444, 452, 456, 476, 490, 497, 502]","[13, 77, 154, 159, 195, 239, 264, 271, 288, 302, 306, 312, 357, 378, 394, 417, 433, 444, 452, 456, 476, 490, 497, 502]","[6, 50, 255, 363]","[0, 2, 46, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",214692000
"('ATTR_1', 'ATTR_11')",2,1,27,"[6, 35, 61, 119, 159, 180, 195, 226, 227, 239, 240, 261, 264, 271, 274, 289, 305, 350, 357, 369, 378, 381, 394, 410, 497, 505, 521, 537]","[35, 61, 119, 159, 180, 195, 226, 227, 239, 240, 261, 264, 271, 274, 289, 305, 350, 357, 369, 378, 381, 394, 410, 497, 505, 521, 537]",[6],"[0, 2, 46, 50, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",235858500
