obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;16;24.242;51;23.182;137;27.677;245;30.934;264;28.571;286;36.111;186;37.576;71;32.273;35;53.030;4;33.333;1;100.000;1296;31.741
1;12;18.182;55;25.000;157;31.717;261;32.955;342;37.013;224;28.283;116;23.434;21;9.545;0;0.000;0;0.000;0;0.000;1188;29.096
2;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
3;6;9.091;13;5.909;31;6.263;34;4.293;30;3.247;20;2.525;16;3.232;1;0.455;0;0.000;0;0.000;0;0.000;151;3.698
4;30;45.455;127;57.727;288;58.182;471;59.470;619;66.991;590;74.495;380;76.768;192;87.273;61;92.424;11;91.667;1;100.000;2770;67.842
5;14;21.212;46;20.909;130;26.263;228;28.788;271;29.329;281;35.480;114;23.030;83;37.727;13;19.697;5;41.667;1;100.000;1186;29.047
6;16;24.242;53;24.091;139;28.081;271;34.217;285;30.844;237;29.924;139;28.081;79;35.909;36;54.545;4;33.333;0;0.000;1259;30.835
8;15;22.727;54;24.545;91;18.384;138;17.424;256;27.706;205;25.884;86;17.374;24;10.909;14;21.212;0;0.000;0;0.000;883;21.626
10;5;7.576;12;5.455;17;3.434;15;1.894;9;0.974;0;0.000;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;59;1.445
11;4;6.061;3;1.364;0;0.000;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
12;0;0.000;2;0.909;2;0.404;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
13;19;28.788;77;35.000;203;41.010;365;46.086;516;55.844;474;59.848;298;60.202;162;73.636;46;69.697;11;91.667;1;100.000;2172;53.196
14;12;18.182;55;25.000;165;33.333;317;40.025;328;35.498;248;31.313;183;36.970;42;19.091;37;56.061;0;0.000;0;0.000;1387;33.970
15;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
16;19;28.788;43;19.545;106;21.414;183;23.106;207;22.403;185;23.359;105;21.212;65;29.545;4;6.061;2;16.667;0;0.000;919;22.508
17;4;6.061;13;5.909;14;2.828;13;1.641;15;1.623;4;0.505;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;67;1.641
18;11;16.667;29;13.182;38;7.677;7;0.884;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;85;2.082
19;3;4.545;4;1.818;3;0.606;5;0.631;4;0.433;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;22;0.539
20;10;15.152;18;8.182;28;5.657;25;3.157;12;1.299;14;1.768;2;0.404;1;0.455;0;0.000;0;0.000;0;0.000;110;2.694
21;4;6.061;6;2.727;4;0.808;2;0.253;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;0.490
22;9;13.636;22;10.000;41;8.283;62;7.828;89;9.632;74;9.343;69;13.939;24;10.909;5;7.576;0;0.000;0;0.000;395;9.674
23;3;4.545;4;1.818;2;0.404;2;0.253;6;0.649;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
25;2;3.030;2;0.909;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
27;3;4.545;3;1.364;8;1.616;2;0.253;0;0.000;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;17;0.416
29;2;3.030;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
30;3;4.545;5;2.273;9;1.818;10;1.263;6;0.649;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;33;0.808
31;4;6.061;6;2.727;12;2.424;11;1.389;9;0.974;3;0.379;1;0.202;1;0.455;0;0.000;0;0.000;0;0.000;47;1.151
32;3;4.545;7;3.182;14;2.828;9;1.136;10;1.082;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;43;1.053
34;17;25.758;62;28.182;133;26.869;179;22.601;175;18.939;154;19.444;100;20.202;16;7.273;22;33.333;0;0.000;0;0.000;858;21.014
35;18;27.273;72;32.727;177;35.758;308;38.889;442;47.835;404;51.010;211;42.626;118;53.636;22;33.333;10;83.333;1;100.000;1783;43.669
36;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
37;20;30.303;54;24.545;113;22.828;198;25.000;195;21.104;60;7.576;131;26.465;23;10.455;6;9.091;1;8.333;0;0.000;801;19.618
38;3;4.545;14;6.364;24;4.848;31;3.914;44;4.762;20;2.525;2;0.404;4;1.818;0;0.000;0;0.000;0;0.000;142;3.478
39;3;4.545;3;1.364;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
41;1;1.515;3;1.364;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
42;1;1.515;4;1.818;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
43;5;7.576;27;12.273;67;13.535;95;11.995;129;13.961;94;11.869;51;10.303;14;6.364;3;4.545;0;0.000;0;0.000;485;11.879
44;11;16.667;49;22.273;106;21.414;65;8.207;0;0.000;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;232;5.682
45;1;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.024
46;3;4.545;9;4.091;13;2.626;14;1.768;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;41;1.004
47;2;3.030;4;1.818;11;2.222;6;0.758;6;0.649;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;0.759
48;19;28.788;58;26.364;126;25.455;202;25.505;312;33.766;277;34.975;145;29.293;79;35.909;22;33.333;6;50.000;0;0.000;1246;30.517
