USED_ATTRIBUTES,ATTRIBUTES_LEN,TP_OLs_LEN,FP_OLs_LEN,OLs,FP_OLs,TP_OLs,MISSED_OLs,ELAPSED_TIME_NS
"('ATTR_1', 'ATTR_2')",2,13,15,"[0, 23, 46, 53, 76, 131, 136, 141, 148, 160, 173, 174, 186, 217, 255, 264, 271, 344, 350, 359, 424, 453, 491, 495, 531, 532, 545, 546]","[23, 76, 131, 141, 148, 160, 174, 264, 271, 350, 424, 453, 495, 545, 546]","[0, 46, 53, 136, 173, 186, 217, 255, 344, 359, 491, 531, 532]","[2, 6, 50, 89, 91, 166, 191, 204, 206, 209, 236, 243, 250, 251, 280, 282, 286, 297, 298, 313, 321, 324, 335, 351, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 492, 535, 542]",7191200
"('ATTR_1', 'ATTR_3')",2,11,17,"[26, 53, 78, 104, 159, 166, 172, 186, 217, 243, 244, 255, 264, 267, 269, 271, 275, 297, 320, 351, 359, 363, 366, 367, 402, 405, 534, 546]","[26, 78, 104, 159, 172, 244, 264, 267, 269, 271, 275, 320, 366, 402, 405, 534, 546]","[53, 166, 186, 217, 243, 255, 297, 351, 359, 363, 367]","[0, 2, 6, 46, 50, 89, 91, 136, 173, 191, 204, 206, 209, 236, 250, 251, 280, 282, 286, 298, 313, 321, 324, 335, 344, 362, 364, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",6666900
"('ATTR_1', 'ATTR_4')",2,10,18,"[46, 91, 103, 144, 148, 186, 244, 261, 277, 282, 311, 318, 321, 344, 350, 359, 363, 371, 374, 407, 462, 466, 490, 491, 495, 497, 502, 513]","[103, 144, 148, 244, 261, 277, 311, 318, 350, 371, 374, 407, 462, 490, 495, 497, 502, 513]","[46, 91, 186, 282, 321, 344, 359, 363, 466, 491]","[0, 2, 6, 50, 53, 89, 136, 166, 173, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 286, 297, 298, 313, 324, 335, 351, 362, 364, 367, 390, 406, 416, 475, 486, 492, 531, 532, 535, 542]",6610800
"('ATTR_1', 'ATTR_5')",2,8,20,"[0, 6, 14, 24, 50, 60, 105, 136, 166, 173, 222, 244, 257, 264, 301, 318, 319, 350, 359, 378, 402, 459, 463, 492, 501, 502, 517, 544]","[14, 24, 60, 105, 222, 244, 257, 264, 301, 318, 319, 350, 378, 402, 459, 463, 501, 502, 517, 544]","[0, 6, 50, 136, 166, 173, 359, 492]","[2, 46, 53, 89, 91, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 531, 532, 535, 542]",6860100
"('ATTR_1', 'ATTR_6')",2,3,25,"[2, 11, 14, 34, 50, 64, 120, 264, 271, 273, 293, 304, 314, 333, 354, 360, 367, 375, 381, 385, 386, 447, 463, 477, 497, 500, 510, 544]","[11, 14, 34, 64, 120, 264, 271, 273, 293, 304, 314, 333, 354, 360, 375, 381, 385, 386, 447, 463, 477, 497, 500, 510, 544]","[2, 50, 367]","[0, 6, 46, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",7607100
"('ATTR_1', 'ATTR_7')",2,7,21,"[6, 50, 85, 91, 116, 148, 159, 165, 241, 243, 257, 261, 264, 271, 274, 343, 350, 351, 359, 452, 459, 476, 489, 491, 495, 497, 527, 546]","[85, 116, 148, 159, 165, 241, 257, 261, 264, 271, 274, 343, 350, 452, 459, 476, 489, 495, 497, 527, 546]","[6, 50, 91, 243, 351, 359, 491]","[0, 2, 46, 53, 89, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 492, 531, 532, 535, 542]",10573900
"('ATTR_1', 'ATTR_8')",2,2,26,"[88, 109, 186, 195, 217, 221, 239, 257, 261, 264, 271, 308, 312, 319, 350, 371, 378, 381, 394, 411, 433, 442, 451, 472, 489, 497, 502, 511]","[88, 109, 195, 221, 239, 257, 261, 264, 271, 308, 312, 319, 350, 371, 378, 381, 394, 411, 433, 442, 451, 472, 489, 497, 502, 511]","[186, 217]","[0, 2, 6, 46, 50, 53, 89, 91, 136, 166, 173, 191, 204, 206, 209, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",7229800
"('ATTR_1', 'ATTR_9')",2,3,25,"[6, 49, 50, 52, 84, 113, 124, 159, 166, 190, 244, 257, 264, 271, 275, 284, 288, 318, 319, 350, 378, 414, 459, 495, 502, 509, 511, 512]","[49, 52, 84, 113, 124, 159, 190, 244, 257, 264, 271, 275, 284, 288, 318, 319, 350, 378, 414, 459, 495, 502, 509, 511, 512]","[6, 50, 166]","[0, 2, 46, 53, 89, 91, 136, 173, 186, 191, 204, 206, 209, 217, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",6356500
"('ATTR_1', 'ATTR_10')",2,3,25,"[13, 50, 77, 154, 166, 195, 217, 244, 246, 257, 261, 271, 274, 306, 312, 318, 319, 341, 350, 357, 391, 394, 417, 434, 444, 459, 490, 501]","[13, 77, 154, 195, 244, 246, 257, 261, 271, 274, 306, 312, 318, 319, 341, 350, 357, 391, 394, 417, 434, 444, 459, 490, 501]","[50, 166, 217]","[0, 2, 6, 46, 53, 89, 91, 136, 173, 186, 191, 204, 206, 209, 236, 243, 250, 251, 255, 280, 282, 286, 297, 298, 313, 321, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",6544700
"('ATTR_1', 'ATTR_11')",2,4,24,"[0, 6, 51, 113, 140, 159, 180, 221, 227, 250, 264, 271, 274, 276, 289, 302, 309, 314, 318, 319, 321, 378, 382, 476, 483, 497, 502, 521]","[51, 113, 140, 159, 180, 221, 227, 264, 271, 274, 276, 289, 302, 309, 314, 318, 319, 378, 382, 476, 483, 497, 502, 521]","[0, 6, 250, 321]","[2, 46, 50, 53, 89, 91, 136, 166, 173, 186, 191, 204, 206, 209, 217, 236, 243, 251, 255, 280, 282, 286, 297, 298, 313, 324, 335, 344, 351, 359, 362, 363, 364, 367, 390, 406, 416, 466, 475, 486, 491, 492, 531, 532, 535, 542]",8649100
