obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;29;43.939;102;46.364;251;50.707;435;54.924;501;54.221;431;54.419;261;52.727;118;53.636;36;54.545;6;50.000;0;0.000;2170;53.147
1;13;19.697;60;27.273;172;34.747;335;42.298;462;50.000;462;58.333;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2066;50.600
2;5;7.576;6;2.727;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;0.269
3;8;12.121;24;10.909;36;7.273;39;4.924;23;2.489;6;0.758;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;137;3.355
4;29;43.939;130;59.091;350;70.707;619;78.157;762;82.468;688;86.869;453;91.515;210;95.455;65;98.485;12;100.000;1;100.000;3319;81.288
5;25;37.879;85;38.636;172;34.747;237;29.924;230;24.892;145;18.308;61;12.323;17;7.727;2;3.030;0;0.000;0;0.000;974;23.855
6;26;39.394;97;44.091;251;50.707;458;57.828;595;64.394;568;71.717;392;79.192;188;85.455;62;93.939;12;100.000;1;100.000;2650;64.903
7;4;6.061;3;1.364;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.171
8;20;30.303;73;33.182;202;40.808;374;47.222;482;52.165;450;56.818;309;62.424;155;70.455;53;80.303;11;91.667;1;100.000;2130;52.168
9;5;7.576;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.122
10;7;10.606;13;5.909;10;2.020;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;30;0.735
11;7;10.606;10;4.545;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;0.465
12;3;4.545;4;1.818;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.196
13;24;36.364;103;46.818;246;49.697;427;53.914;557;60.281;533;67.298;360;72.727;170;77.273;55;83.333;11;91.667;1;100.000;2487;60.911
14;14;21.212;65;29.545;172;34.747;331;41.793;462;50.000;462;58.333;327;66.061;158;71.818;47;71.212;7;58.333;0;0.000;2045;50.086
15;1;1.515;7;3.182;4;0.808;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;0.318
16;10;15.152;32;14.545;92;18.586;170;21.465;198;21.429;161;20.328;86;17.374;26;11.818;3;4.545;0;0.000;0;0.000;778;19.055
17;11;16.667;44;20.000;131;26.465;262;33.081;354;38.312;338;42.677;238;48.081;116;52.727;38;57.576;8;66.667;1;100.000;1541;37.742
18;9;13.636;40;18.182;86;17.374;104;13.131;46;4.978;12;1.515;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;297;7.274
19;8;12.121;28;12.727;59;11.919;90;11.364;108;11.688;79;9.975;35;7.071;11;5.000;2;3.030;0;0.000;0;0.000;420;10.287
20;6;9.091;18;8.182;25;5.051;11;1.389;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;61;1.494
21;5;7.576;8;3.636;11;2.222;17;2.146;21;2.273;12;1.515;5;1.010;0;0.000;0;0.000;0;0.000;0;0.000;79;1.935
22;17;25.758;75;34.091;189;38.182;341;43.056;461;49.892;451;56.944;324;65.455;162;73.636;53;80.303;11;91.667;1;100.000;2085;51.065
23;18;27.273;38;17.273;60;12.121;98;12.374;117;12.662;72;9.091;39;7.879;11;5.000;1;1.515;0;0.000;0;0.000;454;11.119
24;7;10.606;17;7.727;35;7.071;58;7.323;73;7.900;58;7.323;36;7.273;15;6.818;4;6.061;0;0.000;0;0.000;303;7.421
25;7;10.606;11;5.000;13;2.626;4;0.505;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;35;0.857
26;7;10.606;7;3.182;10;2.020;3;0.379;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;28;0.686
27;16;24.242;42;19.091;71;14.343;87;10.985;70;7.576;29;3.662;2;0.404;0;0.000;0;0.000;0;0.000;0;0.000;317;7.764
29;3;4.545;25;11.364;76;15.354;144;18.182;201;21.753;193;24.369;130;26.263;52;23.636;9;13.636;1;8.333;0;0.000;834;20.426
